Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PELP1 modulation of estrogen receptor activity	1/7	0.004890387533564395	0.0893199175962863	0	0	256.15384615384613	1362.8623704331803	EP300
Internal ribosome entry pathway	1/7	0.004890387533564395	0.0893199175962863	0	0	256.15384615384613	1362.8623704331803	EIF3A
Integrated breast cancer pathway	2/152	0.004917872016891436	0.0893199175962863	0	0	22.04	117.13994107086823	MYCBP2;EP300
RNA polymerase II C-terminal domain phosphorylation and interaction with capping enzyme	1/8	0.0055872022837974	0.0893199175962863	0	0	219.54945054945054	1138.8637280375192	RNMT
Gene expression regulation by hypoxia-inducible factor	1/9	0.006283564258093123	0.0893199175962863	0	0	192.09615384615384	973.8925197668605	EP300
PPAR-gamma coactivator role in obesity and thermogenesis	1/9	0.006283564258093123	0.0893199175962863	0	0	192.09615384615384	973.8925197668605	EP300
Melanocyte development and pigmentation pathway	1/13	0.009064489027893918	0.0893199175962863	0	0	128.03846153846155	602.2149225510485	EP300
TRAF3-dependent IRF activation pathway	1/14	0.009758590659951067	0.0893199175962863	0	0	118.18343195266272	547.1428779573204	EP300
DCC-mediated attractive signaling	1/14	0.009758590659951067	0.0893199175962863	0	0	118.18343195266272	547.1428779573204	ABLIM1
CARM1 transcriptional regulation by protein methylation	1/14	0.009758590659951067	0.0893199175962863	0	0	118.18343195266272	547.1428779573204	EP300
Acetylation and deacetylation of RelA in the nucleus	1/16	0.011145440218903038	0.0893199175962863	0	0	102.41538461538461	460.53380130419424	EP300
Hypoxia-inducible factor in the cardivascular system	1/16	0.011145440218903038	0.0893199175962863	0	0	102.41538461538461	460.53380130419424	EP300
Eukaryotic protein translation	1/17	0.01183818865932929	0.0893199175962863	0	0	96.00961538461539	425.93942395331476	EIF3A
Hypoxia and p53 in the cardiovascular system	1/23	0.015985227036696047	0.0893199175962863	0	0	69.8041958041958	288.7164567086745	EP300
Cellular response to hypoxia	1/25	0.017363978615388416	0.0893199175962863	0	0	63.98076923076923	259.3369252570107	EP300
ERBB2 role in signal transduction and oncology	1/26	0.01805268161758667	0.0893199175962863	0	0	61.418461538461536	246.562020931719	EP300
CARM1 and regulation of the estrogen receptor	1/26	0.01805268161758667	0.0893199175962863	0	0	61.418461538461536	246.562020931719	EP300
Cell cycle: G2/M checkpoint	1/27	0.018740936449241897	0.0893199175962863	0	0	59.053254437869825	234.8574522333829	EP300
Control of gene expression by vitamin D receptor	1/27	0.018740936449241897	0.0893199175962863	0	0	59.053254437869825	234.8574522333829	EP300
RORA activates circadian expression	1/27	0.018740936449241897	0.0893199175962863	0	0	59.053254437869825	234.8574522333829	EP300
Interleukin-2 signaling pathway	3/847	0.019418837765255728	0.0893199175962863	0	0	6.18548039638087	24.380143137319013	ABLIM1;THRAP3;ATRX
Messenger RNA capping	1/28	0.01942874337764288	0.0893199175962863	0	0	56.863247863247864	224.09815604285276	RNMT
Multi-step regulation of transcription by PITX2	1/28	0.01942874337764288	0.0893199175962863	0	0	56.863247863247864	224.09815604285276	EP300
TRAF6-mediated IRF7 activation	1/30	0.02080301457834001	0.0893199175962863	0	0	52.93633952254642	205.00430545239047	EP300
