Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PELP1 modulation of estrogen receptor activity	7-Jan	0.004890388	0.089319918	0	0	256.1538462	1362.86237	EP300
Internal ribosome entry pathway	7-Jan	0.004890388	0.089319918	0	0	256.1538462	1362.86237	EIF3A
Integrated breast cancer pathway	2/152	0.004917872	0.089319918	0	0	22.04	117.1399411	MYCBP2;EP300
RNA polymerase II C-terminal domain phosphorylation and interaction with capping enzyme	8-Jan	0.005587202	0.089319918	0	0	219.5494505	1138.863728	RNMT
Gene expression regulation by hypoxia-inducible factor	9-Jan	0.006283564	0.089319918	0	0	192.0961538	973.8925198	EP300
PPAR-gamma coactivator role in obesity and thermogenesis	9-Jan	0.006283564	0.089319918	0	0	192.0961538	973.8925198	EP300
Melanocyte development and pigmentation pathway	13-Jan	0.009064489	0.089319918	0	0	128.0384615	602.2149226	EP300
TRAF3-dependent IRF activation pathway	14-Jan	0.009758591	0.089319918	0	0	118.183432	547.142878	EP300
DCC-mediated attractive signaling	14-Jan	0.009758591	0.089319918	0	0	118.183432	547.142878	ABLIM1
CARM1 transcriptional regulation by protein methylation	14-Jan	0.009758591	0.089319918	0	0	118.183432	547.142878	EP300
Acetylation and deacetylation of RelA in the nucleus	16-Jan	0.01114544	0.089319918	0	0	102.4153846	460.5338013	EP300
Hypoxia-inducible factor in the cardivascular system	16-Jan	0.01114544	0.089319918	0	0	102.4153846	460.5338013	EP300
Eukaryotic protein translation	17-Jan	0.011838189	0.089319918	0	0	96.00961538	425.939424	EIF3A
Hypoxia and p53 in the cardiovascular system	23-Jan	0.015985227	0.089319918	0	0	69.8041958	288.7164567	EP300
Cellular response to hypoxia	25-Jan	0.017363979	0.089319918	0	0	63.98076923	259.3369253	EP300
ERBB2 role in signal transduction and oncology	26-Jan	0.018052682	0.089319918	0	0	61.41846154	246.5620209	EP300
CARM1 and regulation of the estrogen receptor	26-Jan	0.018052682	0.089319918	0	0	61.41846154	246.5620209	EP300
Cell cycle: G2/M checkpoint	27-Jan	0.018740936	0.089319918	0	0	59.05325444	234.8574522	EP300
Control of gene expression by vitamin D receptor	27-Jan	0.018740936	0.089319918	0	0	59.05325444	234.8574522	EP300
RORA activates circadian expression	27-Jan	0.018740936	0.089319918	0	0	59.05325444	234.8574522	EP300
Interleukin-2 signaling pathway	3/847	0.019418838	0.089319918	0	0	6.185480396	24.38014314	ABLIM1;THRAP3;ATRX
Messenger RNA capping	28-Jan	0.019428743	0.089319918	0	0	56.86324786	224.098156	RNMT
Multi-step regulation of transcription by PITX2	28-Jan	0.019428743	0.089319918	0	0	56.86324786	224.098156	EP300
TRAF6-mediated IRF7 activation	30-Jan	0.020803015	0.089319918	0	0	52.93633952	205.0043055	EP300
Retinoic acid receptor-mediated signaling	30-Jan	0.020803015	0.089319918	0	0	52.93633952	205.0043055	EP300
NF-kappaB activation by non-typeable Hemophilus influenzae	31-Jan	0.021489479	0.089319918	0	0	51.16923077	196.4996601	EP300
HIF-2-alpha transcription factor network	Jan-34	0.023546194	0.089319918	0	0	46.51048951	174.3581088	EP300
MEF2D role in T cell apoptosis	Jan-35	0.024230873	0.089319918	0	0	45.14027149	167.9275753	EP300
Interleukin-2/PI3K pathway	Jan-35	0.024230873	0.089319918	0	0	45.14027149	167.9275753	EIF3A
Interleukin-7 signaling pathway	Jan-35	0.024230873	0.089319918	0	0	45.14027149	167.9275753	EP300
FRA pathway	Jan-37	0.025598894	0.089319918	0	0	42.62820513	156.241159	EP300
BMAL1-CLOCK/NPAS2 activates circadian expression	Jan-38	0.026282236	0.089319918	0	0	41.47401247	150.9182076	EP300
FOXM1 transcription factor network	Jan-41	0.028329595	0.089319918	0	0	38.35769231	136.7009949	EP300
Netrin-1 signaling	Jan-42	0.029011159	0.089319918	0	0	37.42026266	132.4705259	ABLIM1
HNF3A pathway	Jan-44	0.030372956	0.089319918	0	0	35.67620751	124.6598994	EP300
Regulation of transcription by NOTCH1 intracellular domain	Jan-47	0.032412327	0.089319918	0	0	33.34448161	114.3454455	EP300
HES/HEY pathway	Jan-48	0.033091232	0.089319918	0	0	32.63338789	111.2304765	EP300
Energy metabolism	Jan-48	0.033091232	0.089319918	0	0	32.63338789	111.2304765	EP300
FoxO family signaling	Jan-49	0.033769694	0.089319918	0	0	31.95192308	108.2592345	EP300
Developmental biology	2/420	0.033887443	0.089319918	0	0	7.802232855	26.40830138	ABLIM1;EP300
Translation factors	Jan-50	0.034447714	0.089319918	0	0	31.29827316	105.4223689	EIF3A
Androgen receptor regulation of biosynthesis and transcription	Jan-53	0.036479125	0.089319918	0	0	29.48816568	97.63576151	EP300
Kit receptor signaling pathway	Jan-54	0.03715538	0.089319918	0	0	28.93033382	95.25736808	EP300
TAp63 pathway	Jan-55	0.037831194	0.089319918	0	0	28.39316239	92.97685365	EP300
Calcineurin-dependent NFAT signaling role in lymphocytes	Jan-55	0.037831194	0.089319918	0	0	28.39316239	92.97685365	EP300
"Activation of mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	Jan-57	0.039181501	0.089319918	0	0	27.37637363	88.68714645	EIF3A
Pre-NOTCH expression and processing	Jan-57	0.039181501	0.089319918	0	0	27.37637363	88.68714645	EP300
Mechanism of gene regulation by peroxisome proliferators via PPAR-alpha	Jan-57	0.039181501	0.089319918	0	0	27.37637363	88.68714645	EP300
ATF2 transcription factor network	Jan-59	0.040530048	0.089319918	0	0	26.42970822	84.72602362	EP300
HIV genome transcription	Jan-61	0.041876838	0.089319918	0	0	25.54615385	81.05851862	RNMT
Circadian rhythm	Jan-62	0.042549574	0.089319918	0	0	25.1261034	79.32525524	EP300
Validated nuclear estrogen receptor alpha network	Jan-64	0.043893731	0.089319918	0	0	24.32600733	76.04270427	EP300
HIF-1 transcriptional activity in hypoxia	Jan-66	0.045236135	0.089319918	0	0	23.57514793	72.98533527	EP300
Retinoblastoma protein regulation	Jan-66	0.045236135	0.089319918	0	0	23.57514793	72.98533527	EP300
SIDS susceptibility pathways	Jan-67	0.045906681	0.089319918	0	0	23.21678322	71.53426659	EP300
AP-1 transcription factor network	Jan-70	0.047915696	0.089319918	0	0	22.20401338	67.46272365	EP300
Long-term potentiation	Jan-70	0.047915696	0.089319918	0	0	22.20401338	67.46272365	EP300
Renal cell carcinoma	Jan-70	0.047915696	0.089319918	0	0	22.20401338	67.46272365	EP300
