Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Pathways Affected In Adenoid Cystic Carcinoma WP3651	Feb-65	9.23E-04	0.040606502	0	0	52.70634921	368.3128492	ATRX;EP300
Male Infertility WP4673	2/145	0.004486431	0.07431076	0	0	23.12703963	125.0409121	ABLIM1;EP300
Circadian Rhythm Genes WP3594	2/201	0.008446737	0.07431076	0	0	16.5720268	79.11444316	THRAP3;EP300
Interactome Of Polycomb Repressive Complex 2 PRC2 WP2916	16-Jan	0.01114544	0.07431076	0	0	102.4153846	460.5338013	THRAP3
Nsp1 From SARS CoV 2 Inhibits Translation Initiation In The Host Cell WP5027	16-Jan	0.01114544	0.07431076	0	0	102.4153846	460.5338013	EIF3A
Hematopoietic Stem Cell Gene Regulation By GABP Alpha Beta Complex WP3657	20-Jan	0.013913732	0.07431076	0	0	80.83805668	345.5729133	EP300
Pathophysiological Roles Of DUX4 In FSHD1 WP5342	22-Jan	0.015295178	0.07431076	0	0	73.13186813	305.7071273	EP300
Initiation Of Transcription And Translation Elongation At The HIV 1 LTR WP3414	Jan-32	0.022175497	0.07431076	0	0	49.51612903	188.5954142	EP300
Prion Disease Pathway WP3995	Jan-32	0.022175497	0.07431076	0	0	49.51612903	188.5954142	EP300
CAMKK2 Pathway WP4874	Jan-33	0.022861069	0.07431076	0	0	47.96634615	181.2321988	EP300
Type 2 Papillary Renal Cell Carcinoma WP4241	Jan-34	0.023546194	0.07431076	0	0	46.51048951	174.3581088	EP300
Hedgehog Signaling Pathway WP4249	Jan-43	0.02969228	0.07431076	0	0	36.52747253	128.4623071	EVC
Aryl Hydrocarbon Receptor Pathway WP2873	Jan-45	0.031053189	0.07431076	0	0	34.86363636	121.0484196	EP300
15Q25 Copy Number Variation WP5408	Jan-45	0.031053189	0.07431076	0	0	34.86363636	121.0484196	RNMT
Aryl Hydrocarbon Receptor Pathway WP2586	Jan-46	0.03173298	0.07431076	0	0	34.08717949	117.6143623	EP300
Energy Metabolism WP1541	Jan-48	0.033091232	0.07431076	0	0	32.63338789	111.2304765	EP300
Rett Syndrome Causing Genes WP4312	Jan-48	0.033091232	0.07431076	0	0	32.63338789	111.2304765	CDKL5
Translation Factors WP107	Jan-50	0.034447714	0.07431076	0	0	31.29827316	105.4223689	EIF3A
IL 4 Signaling Pathway WP395	Jan-50	0.034447714	0.07431076	0	0	31.29827316	105.4223689	EP300
Kit Receptor Signaling Pathway WP304	Jan-53	0.036479125	0.07431076	0	0	29.48816568	97.63576151	EP300
TGF Beta Receptor Signaling WP560	Jan-54	0.03715538	0.07431076	0	0	28.93033382	95.25736808	EP300
Notch Signaling Pathway WP61	Jan-54	0.03715538	0.07431076	0	0	28.93033382	95.25736808	EP300
TGF Beta Receptor Signaling In Skeletal Dysplasias WP4816	Jan-58	0.039855994	0.07624625	0	0	26.89473684	86.6678178	EP300
3Q29 Copy Number Variation Syndrome WP4906	Jan-63	0.043221871	0.079240098	0	0	24.71960298	77.65437409	MYCBP2
SARS CoV 2 Innate Immunity Evasion And Cell Specific Immune Response WP5039	Jan-66	0.045236135	0.079615598	0	0	23.57514793	72.98533527	EP300
Urotensin II Mediated Signaling Pathway WP5158	Jan-69	0.047246461	0.079955549	0	0	22.53167421	68.77517599	EP300
