Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Hedgehog signaling pathway	1/56	0.03850656764938555	0.16401946366821663	0	0	27.875524475524475	90.78853336057627	EVC
Notch signaling pathway	1/59	0.04053004806447805	0.16401946366821663	0	0	26.42970822281167	84.7260236205579	EP300
Long-term potentiation	1/67	0.04590668109129191	0.16401946366821663	0	0	23.216783216783217	71.53426658516943	EP300
Renal cell carcinoma	1/69	0.04724646104265027	0.16401946366821663	0	0	22.531674208144796	68.77517598546079	EP300
Adherens junction	1/71	0.04858449389017961	0.16401946366821663	0	0	21.885714285714286	66.19226727807713	EP300
TGF-beta signaling pathway	1/94	0.0638469754894786	0.16401946366821663	0	0	16.45409429280397	45.269591284815306	EP300
Prostate cancer	1/97	0.06582088646897687	0.16401946366821663	0	0	15.9375	43.36303795043664	EP300
mRNA surveillance pathway	1/98	0.0664779974990266	0.16401946366821663	0	0	15.772402854877082	42.75715849568251	RNMT
Melanogenesis	1/101	0.06844675632813549	0.16401946366821663	0	0	15.296923076923077	41.02174509036264	EP300
Glucagon signaling pathway	1/107	0.07237271302138136	0.16401946366821663	0	0	14.426705370101596	37.88345989762488	EP300
HIF-1 signaling pathway	1/109	0.07367794735955839	0.16401946366821663	0	0	14.158119658119658	36.92510869837499	EP300
Growth hormone synthesis, secretion and action	1/119	0.0801785773482284	0.16401946366821663	0	0	12.951760104302478	32.683752572491365	EP300
Thyroid hormone signaling pathway	1/121	0.08147360937992953	0.16401946366821663	0	0	12.734615384615385	31.931744005669536	EP300
Cell cycle	1/124	0.08341298327902275	0.16401946366821663	0	0	12.422138836772984	30.855987998406988	EP300
FoxO signaling pathway	1/131	0.08792341216396707	0.16401946366821663	0	0	11.749112426035502	28.565489678311135	EP300
Ubiquitin mediated proteolysis	1/140	0.09369225280452934	0.16401946366821663	0	0	10.983397897066961	26.005828054598982	HERC1
JAK-STAT signaling pathway	1/162	0.10765153607985092	0.16401946366821663	0	0	9.472049689440993	21.111832756245473	EP300
Hepatitis B	1/162	0.10765153607985092	0.16401946366821663	0	0	9.472049689440993	21.111832756245473	EP300
Wnt signaling pathway	1/166	0.1101680363222428	0.16401946366821663	0	0	9.24055944055944	20.3823499020957	EP300
Influenza A	1/172	0.11393043330489243	0.16401946366821663	0	0	8.913630229419702	19.361895672082163	EP300
Tuberculosis	1/180	0.11892398653215269	0.16401946366821663	0	0	8.5118177911474	18.12396472528597	EP300
Axon guidance	1/182	0.1201682851848245	0.16401946366821663	0	0	8.416914577135572	17.834281650542312	ABLIM1
RNA transport	1/186	0.12265198880640278	0.16401946366821663	0	0	8.233264033264033	17.276716593711583	EIF3A
Kaposi sarcoma-associated herpesvirus infection	1/193	0.12698281058184513	0.16401946366821663	0	0	7.930288461538462	16.36576446196824	EP300
Viral carcinogenesis	1/203	0.1331352721403634	0.1640652336303145	0	0	7.533891850723534	15.191261053858508	EP300
cAMP signaling pathway	1/216	0.14107328747822784	0.1640652336303145	0	0	7.073703041144902	13.853675899116533	EP300
Human T-cell leukemia virus 1 infection	1/219	0.14289552606511263	0.1640652336303145	0	0	6.9752999294283695	13.57143303639385	EP300
Huntington disease	1/306	0.19420486941267293	0.21004518353002327	0	0	4.963682219419924	8.134689154696247	EP300
MicroRNAs in cancer	1/310	0.196493881366796	0.21004518353002327	0	0	4.898431665421957	7.97035565776603	EP300
Human papillomavirus infection	1/331	0.20841245570198486	0.2153595375587177	0	0	4.581818181818182	7.185373146665675	EP300
Pathways in cancer	1/531	0.31397886234706307	0.31397886234706307	0	0	2.823802612481858	3.271176566735099	EP300
