Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation Of Neuron Projection Development (GO:0010975)	3/174	2.195373294260968E-4	0.027242933739721704	0	0	31.60287081339713	266.2222131626739	CDKL5;MYCBP2;EP300
DNA-templated DNA Replication Maintenance Of Fidelity (GO:0045005)	2/43	4.041897176269234E-4	0.027242933739721704	0	0	81.07723577235772	633.5072130174765	BOD1L1;ATRX
Replication Fork Processing (GO:0031297)	2/46	4.6271891745299534E-4	0.027242933739721704	0	0	75.53787878787878	580.0093518719605	BOD1L1;ATRX
Nucleosome Assembly (GO:0006334)	2/54	6.377173030824915E-4	0.027242933739721704	0	0	63.89102564102564	470.08559874216274	HIRA;ATRX
protein-DNA Complex Assembly (GO:0065004)	2/59	7.609758027855225E-4	0.027242933739721704	0	0	58.271929824561404	418.44542516201636	HIRA;ATRX
Nucleosome Organization (GO:0034728)	2/75	0.0012263294238969505	0.036585494479592355	0	0	45.4634703196347	304.774819858399	HIRA;ATRX
Positive Regulation Of Cell Projection Organization (GO:0031346)	2/118	0.002998619131128124	0.06256623508633251	0	0	28.548850574712645	165.85749896251147	CDKL5;EP300
7-Methylguanosine RNA Capping (GO:0009452)	1/5	0.0034953988931204698	0.06256623508633251	0	0	384.2692307692308	2173.5450385769154	RNMT
7-Methylguanosine mRNA Capping (GO:0006370)	1/6	0.004193119798694676	0.06256623508633251	0	0	307.4	1682.8029678019434	RNMT
Internal Protein Amino Acid Acetylation (GO:0006475)	1/8	0.0055872022837974	0.06256623508633251	0	0	219.54945054945054	1138.8637280375192	EP300
Regulation Of Nuclear Cell Cycle DNA Replication (GO:0033262)	1/8	0.0055872022837974	0.06256623508633251	0	0	219.54945054945054	1138.8637280375192	ATRX
Regulation Of RNA Polymerase II Regulatory Region Sequence-Specific DNA Binding (GO:1903025)	1/9	0.006283564258093123	0.06256623508633251	0	0	192.09615384615384	973.8925197668605	EP300
Peptidyl-Lysine Acetylation (GO:0018394)	1/9	0.006283564258093123	0.06256623508633251	0	0	192.09615384615384	973.8925197668605	EP300
Positive Regulation Of Circadian Rhythm (GO:0042753)	1/11	0.007674930787541144	0.06256623508633251	0	0	153.66153846153847	748.3003458854362	THRAP3
Central Nervous System Neuron Axonogenesis (GO:0021955)	1/11	0.007674930787541144	0.06256623508633251	0	0	153.66153846153847	748.3003458854362	MYCBP2
Central Nervous System Projection Neuron Axonogenesis (GO:0021952)	1/11	0.007674930787541144	0.06256623508633251	0	0	153.66153846153847	748.3003458854362	MYCBP2
Positive Regulation Of Cell Morphogenesis Involved In Differentiation (GO:0010770)	1/12	0.008369935820942226	0.06256623508633251	0	0	139.6853146853147	668.1300945358273	CDKL5
Regulation Of Carbohydrate Catabolic Process (GO:0043470)	1/14	0.009758590659951067	0.06256623508633251	0	0	118.18343195266272	547.1428779573204	EP300
Regulation Of Cellular Response To Heat (GO:1900034)	1/15	0.0104522409709381	0.06256623508633251	0	0	109.73626373626374	500.5003914455875	EP300
DNA Alkylation (GO:0006305)	1/15	0.0104522409709381	0.06256623508633251	0	0	109.73626373626374	500.5003914455875	ATRX
Negative Regulation Of Gluconeogenesis (GO:0045721)	1/15	0.0104522409709381	0.06256623508633251	0	0	109.73626373626374	500.5003914455875	EP300
Protein Localization To Chromosome, Telomeric Region (GO:0070198)	1/15	0.0104522409709381	0.06256623508633251	0	0	109.73626373626374	500.5003914455875	ATRX
N-terminal Protein Amino Acid Acetylation (GO:0006474)	1/15	0.0104522409709381	0.06256623508633251	0	0	109.73626373626374	500.5003914455875	EP300
Chromatin Remodeling (GO:0006338)	2/228	0.010758353100571874	0.06256623508633251	0	0	14.572271386430678	66.04259469038799	HIRA;ATRX
Cellular Response To Nitrogen Compound (GO:1901699)	1/16	0.011145440218903038	0.06256623508633251	0	0	102.41538461538461	460.53380130419424	ATRX
Positive Regulation By Host Of Viral Transcription (GO:0043923)	1/16	0.011145440218903038	0.06256623508633251	0	0	102.41538461538461	460.53380130419424	EP300
Positive Regulation Of Dendrite Morphogenesis (GO:0050775)	1/17	0.01183818865932929	0.06256623508633251	0	0	96.00961538461539	425.93942395331476	CDKL5
Regulation Of Tubulin Deacetylation (GO:0090043)	1/17	0.01183818865932929	0.06256623508633251	0	0	96.00961538461539	425.93942395331476	EP300
Regulation Of Protein Deacetylation (GO:0090311)	1/18	0.01253048655713669	0.06256623508633251	0	0	90.35746606334841	395.7287161899813	EP300
Neuromuscular Process (GO:0050905)	1/18	0.01253048655713669	0.06256623508633251	0	0	90.35746606334841	395.7287161899813	MYCBP2
Cellular Response To Inorganic Substance (GO:0071241)	1/18	0.01253048655713669	0.06256623508633251	0	0	90.35746606334841	395.7287161899813	ATRX
Stimulatory C-type Lectin Receptor Signaling Pathway (GO:0002223)	1/19	0.013222334171232074	0.06256623508633251	0	0	85.33333333333333	369.13902050225767	EP300
