Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Protruding tongue (HP:0010808)	2/14	4.120673533565586E-5	0.0037871237830568102	0	0	277.4166666666667	2801.0507929062574	CDKL5;ATRX
Autism (HP:0000717)	3/109	5.486326974628464E-5	0.0037871237830568102	0	0	51.14922813036021	501.80801751713653	HIRA;CDKL5;ATRX
Inappropriate behavior (HP:0000719)	2/17	6.15100567126949E-5	0.0037871237830568102	0	0	221.9	2151.6111607602743	CDKL5;ATRX
Exotropia (HP:0000577)	2/18	6.917121064943945E-5	0.0037871237830568102	0	0	208.02083333333334	1992.6161300549122	CDKL5;ATRX
Abnormality of the incisor (HP:0000676)	2/24	1.24480947880634E-4	0.004231435412254879	0	0	151.24242424242425	1359.8747634320841	EVC;ATRX
Drooling (HP:0002307)	2/24	1.24480947880634E-4	0.004231435412254879	0	0	151.24242424242425	1359.8747634320841	CDKL5;ATRX
Excessive salivation (HP:0003781)	2/25	1.3525136020906006E-4	0.004231435412254879	0	0	144.65942028985506	1288.6804476029815	CDKL5;ATRX
Constipation (HP:0002019)	3/170	2.0499702242625666E-4	0.005524934072155996	0	0	32.3663581927055	274.87178580271103	HIRA;CDKL5;ATRX
Ventricular septal defect (HP:0001629)	3/176	2.2705208515709572E-4	0.005524934072155996	0	0	31.234366789280084	262.06667958474304	HIRA;EVC;ATRX
Brachydactyly syndrome (HP:0001156)	3/192	2.9325199529579485E-4	0.005888619074871748	0	0	28.567099567099568	232.37845056197366	CDKL5;EVC;ATRX
Intellectual disability, progressive (HP:0006887)	2/38	3.15297453838473E-4	0.005888619074871748	0	0	92.36111111111111	744.6147297815271	CDKL5;ATRX
Abnormality of salivation (HP:0100755)	2/39	3.322078014627923E-4	0.005888619074871748	0	0	89.86036036036036	719.7590103279413	CDKL5;ATRX
Macroglossia (HP:0000158)	2/40	3.4955273047183893E-4	0.005888619074871748	0	0	87.49122807017544	696.3300971664896	CDKL5;ATRX
Tapered finger (HP:0001182)	2/42	3.855442169962099E-4	0.006031013108726425	0	0	83.10833333333333	653.3025302955893	CDKL5;ATRX
Gastroesophageal reflux (HP:0002020)	2/45	4.427775949754095E-4	0.006464552886640979	0	0	77.2984496124031	596.9328677908948	CDKL5;ATRX
Short palm (HP:0004279)	2/54	6.377173030824915E-4	0.008728755585941602	0	0	63.89102564102564	470.08559874216274	CDKL5;EVC
Intellectual disability, severe (HP:0010864)	2/59	7.609758027855225E-4	0.009803158871178202	0	0	58.271929824561404	418.44542516201636	CDKL5;ATRX
X-linked dominant inheritance (HP:0001423)	2/62	8.400240681185265E-4	0.010220292828775405	0	0	55.35	391.9931287757488	CDKL5;ATRX
Vesicoureteral reflux (HP:0000076)	2/68	0.0010095147214072258	0.011635985473062235	0	0	50.303030303030305	347.00466642918985	HIRA;ATRX
Genu valgum (HP:0002857)	2/75	0.0012263294238969505	0.013428307191671606	0	0	45.4634703196347	304.774819858399	EVC;ATRX
Telecanthus (HP:0000506)	2/83	0.001499056002001446	0.015280276018562284	0	0	40.95679012345679	266.33871738295613	HIRA;ATRX
Hypospadias (HP:0000047)	2/84	0.0015350048968418733	0.015280276018562284	0	0	40.45528455284553	262.1187578709559	EVC;ATRX
Wide mouth (HP:0000154)	2/86	0.0016081357833763062	0.01531224941562657	0	0	39.48809523809524	254.01426742111903	CDKL5;ATRX
Thick lower lip vermilion (HP:0000179)	2/97	0.002039574841630082	0.01772057854388102	0	0	34.896491228070175	216.18424835215666	CDKL5;ATRX
Aganglionic megacolon (HP:0002251)	2/97	0.002039574841630082	0.01772057854388102	0	0	34.896491228070175	216.18424835215666	HIRA;ATRX
Cryptorchidism (HP:0000028)	3/379	0.0021038129778123585	0.01772057854388102	0	0	14.223887814313347	87.67609963244452	HIRA;EVC;ATRX
Upslanted palpebral fissure (HP:0000582)	2/108	0.0025199721964248188	0.020439774482112417	0	0	31.257861635220127	187.03164673648803	HIRA;ATRX
Carious teeth (HP:0000670)	2/119	0.003048659628690299	0.023844873524399124	0	0	28.303418803418804	163.96321231241305	HIRA;EP300
Talipes equinovarus (HP:0001762)	2/129	0.0035706319406263423	0.026964427413695483	0	0	26.061679790026247	146.85789620072825	EVC;ATRX
Umbilical hernia (HP:0001537)	2/151	0.004855101265003166	0.03508909013198501	0	0	22.18903803131991	118.21709973652548	HIRA;ATRX
Volvulus (HP:0002580)	1/8	0.0055872022837974	0.03508909013198501	0	0	219.54945054945054	1138.8637280375192	ATRX
Hypochromic microcytic anemia (HP:0004840)	1/8	0.0055872022837974	0.03508909013198501	0	0	219.54945054945054	1138.8637280375192	ATRX
Absent frontal sinuses (HP:0002688)	1/8	0.0055872022837974	0.03508909013198501	0	0	219.54945054945054	1138.8637280375192	ATRX
Hyperventilation (HP:0002883)	1/8	0.0055872022837974	0.03508909013198501	0	0	219.54945054945054	1138.8637280375192	CDKL5
Cerebral cortical atrophy (HP:0002120)	2/163	0.005633159681984961	0.03508909013198501	0	0	20.522774327122153	106.28918799431756	CDKL5;ATRX
Delayed skeletal maturation (HP:0002750)	2/165	0.005768069610737263	0.03508909013198501	0	0	20.268916155419223	104.49473134994793	EVC;ATRX
Neonatal short-limb short stature (HP:0008921)	1/9	0.006283564258093123	0.03605843050596433	0	0	192.09615384615384	973.8925197668605	EVC
Short neck (HP:0000470)	2/182	0.006974381805593239	0.03605843050596433	0	0	18.33888888888889	91.06196523793282	HIRA;ATRX
Limb hypertonia (HP:0002509)	1/10	0.006979473680213335	0.03605843050596433	0	0	170.74358974358975	847.7046615380154	ATRX
Aplasia/Hypoplasia of the frontal sinuses (HP:0009119)	1/10	0.006979473680213335	0.03605843050596433	0	0	170.74358974358975	847.7046615380154	ATRX
High palate (HP:0000218)	2/191	0.007655663705297121	0.03605843050596433	0	0	17.45767195767196	85.05918182521268	ATRX;EP300
Natal tooth (HP:0000695)	1/11	0.007674930787541144	0.03605843050596433	0	0	153.66153846153847	748.3003458854362	EVC
Clinodactyly of the 5th finger (HP:0004209)	2/192	0.007733163058087052	0.03605843050596433	0	0	17.364912280701756	84.4323243339294	EVC;ATRX
Mild short stature (HP:0003502)	1/12	0.008369935820942226	0.03605843050596433	0	0	139.6853146853147	668.1300945358273	EVC
Aplasia/Hypoplasia involving the sinuses (HP:0009120)	1/12	0.008369935820942226	0.03605843050596433	0	0	139.6853146853147	668.1300945358273	ATRX
Abnormal number of incisors (HP:0011064)	1/12	0.008369935820942226	0.03605843050596433	0	0	139.6853146853147	668.1300945358273	EVC
Clumsiness (HP:0002312)	1/12	0.008369935820942226	0.03605843050596433	0	0	139.6853146853147	668.1300945358273	CDKL5
Infantile muscular hypotonia (HP:0008947)	1/12	0.008369935820942226	0.03605843050596433	0	0	139.6853146853147	668.1300945358273	ATRX
Abnormality of the frontal sinuses (HP:0002687)	1/12	0.008369935820942226	0.03605843050596433	0	0	139.6853146853147	668.1300945358273	ATRX
Fair hair (HP:0002286)	1/13	0.009064489027893918	0.03605843050596433	0	0	128.03846153846155	602.2149225510485	CDKL5
Shawl scrotum (HP:0000049)	1/13	0.009064489027893918	0.03605843050596433	0	0	128.03846153846155	602.2149225510485	ATRX
Abnormal hemoglobin (HP:0011902)	1/14	0.009758590659951067	0.03605843050596433	0	0	118.18343195266272	547.1428779573204	ATRX
Tented upper lip vermilion (HP:0010804)	1/15	0.0104522409709381	0.03605843050596433	0	0	109.73626373626374	500.5003914455875	ATRX
Conical tooth (HP:0000698)	1/15	0.0104522409709381	0.03605843050596433	0	0	109.73626373626374	500.5003914455875	EVC
Radial deviation of finger (HP:0009466)	2/229	0.010848812444255677	0.03605843050596433	0	0	14.50734214390602	65.62685868223097	EVC;ATRX
Intrauterine growth retardation (HP:0001511)	2/232	0.01112223832932302	0.03605843050596433	0	0	14.315942028985507	64.4046848608884	HIRA;EVC
Hypertensive crisis (HP:0100735)	1/16	0.011145440218903038	0.03605843050596433	0	0	102.41538461538461	460.53380130419424	HIRA
Truncus arteriosus (HP:0001660)	1/16	0.011145440218903038	0.03605843050596433	0	0	102.41538461538461	460.53380130419424	HIRA
Hypochromic anemia (HP:0001931)	1/16	0.011145440218903038	0.03605843050596433	0	0	102.41538461538461	460.53380130419424	ATRX
Seborrheic dermatitis (HP:0001051)	1/16	0.011145440218903038	0.03605843050596433	0	0	102.41538461538461	460.53380130419424	HIRA
Flat occiput (HP:0005469)	1/16	0.011145440218903038	0.03605843050596433	0	0	102.41538461538461	460.53380130419424	CDKL5
Epicanthus (HP:0000286)	2/233	0.011214061405352372	0.03605843050596433	0	0	14.253246753246753	64.00544180594525	HIRA;ATRX
Splenomegaly (HP:0001744)	2/239	0.011772120119608627	0.03605843050596433	0	0	13.888185654008439	61.69161572714617	HIRA;ATRX
Generalized hypopigmentation of hair (HP:0011358)	1/17	0.01183818865932929	0.03605843050596433	0	0	96.00961538461539	425.93942395331476	CDKL5
Facial cleft (HP:0002006)	1/17	0.01183818865932929	0.03605843050596433	0	0	96.00961538461539	425.93942395331476	EVC
Atelectasis (HP:0100750)	1/17	0.01183818865932929	0.03605843050596433	0	0	96.00961538461539	425.93942395331476	HIRA
Cone-shaped epiphyses of the phalanges of the hand (HP:0010230)	1/17	0.01183818865932929	0.03605843050596433	0	0	96.00961538461539	425.93942395331476	EVC
Abnormality of the heme biosynthetic pathway (HP:0010472)	1/17	0.01183818865932929	0.03605843050596433	0	0	96.00961538461539	425.93942395331476	ATRX
Absent speech (HP:0001344)	1/17	0.01183818865932929	0.03605843050596433	0	0	96.00961538461539	425.93942395331476	CDKL5
Abnormality of the alveolar ridges (HP:0006477)	1/18	0.01253048655713669	0.03605843050596433	0	0	90.35746606334841	395.7287161899813	EVC
Poor eye contact (HP:0000817)	1/18	0.01253048655713669	0.03605843050596433	0	0	90.35746606334841	395.7287161899813	CDKL5
Blue irides (HP:0000635)	1/18	0.01253048655713669	0.03605843050596433	0	0	90.35746606334841	395.7287161899813	CDKL5
Inability to walk (HP:0002540)	1/19	0.013222334171232074	0.03605843050596433	0	0	85.33333333333333	369.13902050225767	CDKL5
Advanced eruption of teeth (HP:0006288)	1/19	0.013222334171232074	0.03605843050596433	0	0	85.33333333333333	369.13902050225767	EVC
Complete atrioventricular canal defect (HP:0001674)	1/19	0.013222334171232074	0.03605843050596433	0	0	85.33333333333333	369.13902050225767	EVC
Broad-based gait (HP:0002136)	1/19	0.013222334171232074	0.03605843050596433	0	0	85.33333333333333	369.13902050225767	CDKL5
Abnormality of the tricuspid valve (HP:0001702)	1/19	0.013222334171232074	0.03605843050596433	0	0	85.33333333333333	369.13902050225767	HIRA
Uterine leiomyosarcoma (HP:0002891)	1/20	0.013913731760820029	0.03605843050596433	0	0	80.83805668016194	345.57291333057793	EP300
Leiomyosarcoma (HP:0100243)	1/20	0.013913731760820029	0.03605843050596433	0	0	80.83805668016194	345.57291333057793	EP300
Broad hallux (HP:0010055)	1/21	0.014604679593987663	0.03605843050596433	0	0	76.79230769230769	324.5560291468294	EP300
Small hand (HP:0200055)	1/22	0.01529517792933681	0.03605843050596433	0	0	73.13186813186813	305.7071272789262	CDKL5
Obstructive lung disease (HP:0006536)	1/22	0.01529517792933681	0.03605843050596433	0	0	73.13186813186813	305.7071272789262	HIRA
Synostosis of carpal bones (HP:0005048)	1/22	0.01529517792933681	0.03605843050596433	0	0	73.13186813186813	305.7071272789262	EVC
Transitional cell carcinoma of the bladder (HP:0006740)	1/22	0.01529517792933681	0.03605843050596433	0	0	73.13186813186813	305.7071272789262	EP300
Progressive microcephaly (HP:0000253)	1/22	0.01529517792933681	0.03605843050596433	0	0	73.13186813186813	305.7071272789262	CDKL5
Cubitus valgus (HP:0002967)	1/22	0.01529517792933681	0.03605843050596433	0	0	73.13186813186813	305.7071272789262	EVC
Chronic obstructive pulmonary disease (HP:0006510)	1/22	0.01529517792933681	0.03605843050596433	0	0	73.13186813186813	305.7071272789262	HIRA
Hereditary nonpolyposis colorectal carcinoma (HP:0006716)	1/23	0.015985227036696047	0.03605843050596433	0	0	69.8041958041958	288.7164567086745	EP300
Impaired social interactions (HP:0000735)	1/23	0.015985227036696047	0.03605843050596433	0	0	69.8041958041958	288.7164567086745	CDKL5
Abnormality of the epiphyses of the phalanges of the hand (HP:0005920)	1/23	0.015985227036696047	0.03605843050596433	0	0	69.8041958041958	288.7164567086745	EVC
Abnormal social behavior (HP:0012433)	1/23	0.015985227036696047	0.03605843050596433	0	0	69.8041958041958	288.7164567086745	CDKL5
Bowel incontinence (HP:0002607)	1/23	0.015985227036696047	0.03605843050596433	0	0	69.8041958041958	288.7164567086745	HIRA
Bladder neoplasm (HP:0009725)	1/24	0.016674827177981324	0.03605843050596433	0	0	66.76588628762542	273.32986083800455	EP300
Abnormal large intestine physiology (HP:0012700)	1/24	0.016674827177981324	0.03605843050596433	0	0	66.76588628762542	273.32986083800455	HIRA
Atrioventricular canal defect (HP:0006695)	1/24	0.016674827177981324	0.03605843050596433	0	0	66.76588628762542	273.32986083800455	EVC
Abnormality of the antihelix (HP:0009738)	1/24	0.016674827177981324	0.03605843050596433	0	0	66.76588628762542	273.32986083800455	EVC
Hemivertebrae (HP:0002937)	1/24	0.016674827177981324	0.03605843050596433	0	0	66.76588628762542	273.32986083800455	ATRX
Bladder carcinoma (HP:0002862)	1/24	0.016674827177981324	0.03605843050596433	0	0	66.76588628762542	273.32986083800455	EP300
Hyperthyroidism (HP:0000836)	1/24	0.016674827177981324	0.03605843050596433	0	0	66.76588628762542	273.32986083800455	HIRA
Broad toe (HP:0001837)	1/25	0.017363978615388416	0.03605843050596433	0	0	63.98076923076923	259.3369252570107	EP300
Microcytic anemia (HP:0001935)	1/25	0.017363978615388416	0.03605843050596433	0	0	63.98076923076923	259.3369252570107	ATRX
Long eyelashes (HP:0000527)	1/25	0.017363978615388416	0.03605843050596433	0	0	63.98076923076923	259.3369252570107	EP300
Prominent nose (HP:0000448)	1/25	0.017363978615388416	0.03605843050596433	0	0	63.98076923076923	259.3369252570107	EP300
Broad thumb (HP:0011304)	1/25	0.017363978615388416	0.03605843050596433	0	0	63.98076923076923	259.3369252570107	EP300
Abnormality of the epiphyses of the hand (HP:0005924)	1/26	0.01805268161758667	0.03605843050596433	0	0	61.418461538461536	246.562020931719	EVC
Narrow palate (HP:0000189)	1/26	0.01805268161758667	0.03605843050596433	0	0	61.418461538461536	246.562020931719	EP300
Coxa valga (HP:0002673)	1/26	0.01805268161758667	0.03605843050596433	0	0	61.418461538461536	246.562020931719	ATRX
Encephalitis (HP:0002383)	1/26	0.01805268161758667	0.03605843050596433	0	0	61.418461538461536	246.562020931719	ATRX
Abnormality involving the epiphyses of the upper limbs (HP:0003839)	1/27	0.018740936449241897	0.03605843050596433	0	0	59.053254437869825	234.8574522333829	EVC
Aplasia/Hypoplasia of the earlobes (HP:0009906)	1/27	0.018740936449241897	0.03605843050596433	0	0	59.053254437869825	234.8574522333829	HIRA
Venous insufficiency (HP:0005293)	1/27	0.018740936449241897	0.03605843050596433	0	0	59.053254437869825	234.8574522333829	HIRA
Generalized myoclonic seizures (HP:0002123)	1/27	0.018740936449241897	0.03605843050596433	0	0	59.053254437869825	234.8574522333829	CDKL5
Widely spaced teeth (HP:0000687)	1/27	0.018740936449241897	0.03605843050596433	0	0	59.053254437869825	234.8574522333829	CDKL5
Patellar dislocation (HP:0002999)	1/28	0.01942874337764288	0.03605843050596433	0	0	56.863247863247864	224.09815604285276	HIRA
Malignant gastrointestinal tract tumors (HP:0006749)	1/28	0.01942874337764288	0.03605843050596433	0	0	56.863247863247864	224.09815604285276	EP300
Gastrointestinal carcinoma (HP:0002672)	1/28	0.01942874337764288	0.03605843050596433	0	0	56.863247863247864	224.09815604285276	EP300
Overfolded helix (HP:0000396)	1/28	0.01942874337764288	0.03605843050596433	0	0	56.863247863247864	224.09815604285276	HIRA
Postnatal microcephaly (HP:0005484)	1/28	0.01942874337764288	0.03605843050596433	0	0	56.863247863247864	224.09815604285276	CDKL5
Aplasia/Hypoplasia of the thymus (HP:0010515)	1/29	0.02011610266484507	0.03674080800529405	0	0	54.82967032967033	214.17755847607222	HIRA
Emphysema (HP:0002097)	1/30	0.02080301457834001	0.03674080800529405	0	0	52.93633952254642	205.00430545239047	EVC
Hypsarrhythmia (HP:0002521)	1/30	0.02080301457834001	0.03674080800529405	0	0	52.93633952254642	205.00430545239047	CDKL5
Intellectual disability, profound (HP:0002187)	1/30	0.02080301457834001	0.03674080800529405	0	0	52.93633952254642	205.00430545239047	CDKL5
Carpal synostosis (HP:0009702)	1/30	0.02080301457834001	0.03674080800529405	0	0	52.93633952254642	205.00430545239047	EVC
Abnormally folded helix (HP:0008544)	1/30	0.02080301457834001	0.03674080800529405	0	0	52.93633952254642	205.00430545239047	HIRA
Hypertelorism (HP:0000316)	2/328	0.02142385201308487	0.03705666130265267	0	0	10.051124744376278	38.62898917001889	HIRA;ATRX
EEG with generalized epileptiform discharges (HP:0011198)	1/31	0.02148947938555657	0.03705666130265267	0	0	51.16923076923077	196.4996601316088	CDKL5
Acrocyanosis (HP:0001063)	1/31	0.02148947938555657	0.03705666130265267	0	0	51.16923076923077	196.4996601316088	CDKL5
Broad phalanges of the hand (HP:0009768)	1/32	0.022175497351954617	0.037072014657084436	0	0	49.516129032258064	188.59541419671353	EP300
Epileptiform EEG discharges (HP:0011182)	1/32	0.022175497351954617	0.037072014657084436	0	0	49.516129032258064	188.59541419671353	CDKL5
Renal cell carcinoma (HP:0005584)	1/32	0.022175497351954617	0.037072014657084436	0	0	49.516129032258064	188.59541419671353	EP300
Renal hypoplasia (HP:0000089)	1/32	0.022175497351954617	0.037072014657084436	0	0	49.516129032258064	188.59541419671353	ATRX
Ptosis (HP:0000508)	2/338	0.022661732517238947	0.0370857337360084	0	0	9.74702380952381	36.91273523583272	HIRA;ATRX
