Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation Of Neuron Projection Development (GO:0010975)	3/174	2.20E-04	0.027242934	0	0	31.60287081	266.2222132	CDKL5;MYCBP2;EP300
DNA-templated DNA Replication Maintenance Of Fidelity (GO:0045005)	Feb-43	4.04E-04	0.027242934	0	0	81.07723577	633.507213	BOD1L1;ATRX
Replication Fork Processing (GO:0031297)	Feb-46	4.63E-04	0.027242934	0	0	75.53787879	580.0093519	BOD1L1;ATRX
Nucleosome Assembly (GO:0006334)	Feb-54	6.38E-04	0.027242934	0	0	63.89102564	470.0855987	HIRA;ATRX
protein-DNA Complex Assembly (GO:0065004)	Feb-59	7.61E-04	0.027242934	0	0	58.27192982	418.4454252	HIRA;ATRX
Nucleosome Organization (GO:0034728)	Feb-75	0.001226329	0.036585494	0	0	45.46347032	304.7748199	HIRA;ATRX
Positive Regulation Of Cell Projection Organization (GO:0031346)	2/118	0.002998619	0.062566235	0	0	28.54885057	165.857499	CDKL5;EP300
7-Methylguanosine RNA Capping (GO:0009452)	5-Jan	0.003495399	0.062566235	0	0	384.2692308	2173.545039	RNMT
7-Methylguanosine mRNA Capping (GO:0006370)	6-Jan	0.00419312	0.062566235	0	0	307.4	1682.802968	RNMT
Internal Protein Amino Acid Acetylation (GO:0006475)	8-Jan	0.005587202	0.062566235	0	0	219.5494505	1138.863728	EP300
Regulation Of Nuclear Cell Cycle DNA Replication (GO:0033262)	8-Jan	0.005587202	0.062566235	0	0	219.5494505	1138.863728	ATRX
Regulation Of RNA Polymerase II Regulatory Region Sequence-Specific DNA Binding (GO:1903025)	9-Jan	0.006283564	0.062566235	0	0	192.0961538	973.8925198	EP300
Peptidyl-Lysine Acetylation (GO:0018394)	9-Jan	0.006283564	0.062566235	0	0	192.0961538	973.8925198	EP300
Positive Regulation Of Circadian Rhythm (GO:0042753)	11-Jan	0.007674931	0.062566235	0	0	153.6615385	748.3003459	THRAP3
Central Nervous System Neuron Axonogenesis (GO:0021955)	11-Jan	0.007674931	0.062566235	0	0	153.6615385	748.3003459	MYCBP2
Central Nervous System Projection Neuron Axonogenesis (GO:0021952)	11-Jan	0.007674931	0.062566235	0	0	153.6615385	748.3003459	MYCBP2
Positive Regulation Of Cell Morphogenesis Involved In Differentiation (GO:0010770)	12-Jan	0.008369936	0.062566235	0	0	139.6853147	668.1300945	CDKL5
Regulation Of Carbohydrate Catabolic Process (GO:0043470)	14-Jan	0.009758591	0.062566235	0	0	118.183432	547.142878	EP300
Regulation Of Cellular Response To Heat (GO:1900034)	15-Jan	0.010452241	0.062566235	0	0	109.7362637	500.5003914	EP300
DNA Alkylation (GO:0006305)	15-Jan	0.010452241	0.062566235	0	0	109.7362637	500.5003914	ATRX
Negative Regulation Of Gluconeogenesis (GO:0045721)	15-Jan	0.010452241	0.062566235	0	0	109.7362637	500.5003914	EP300
"Protein Localization To Chromosome, Telomeric Region (GO:0070198)"	15-Jan	0.010452241	0.062566235	0	0	109.7362637	500.5003914	ATRX
N-terminal Protein Amino Acid Acetylation (GO:0006474)	15-Jan	0.010452241	0.062566235	0	0	109.7362637	500.5003914	EP300
Chromatin Remodeling (GO:0006338)	2/228	0.010758353	0.062566235	0	0	14.57227139	66.04259469	HIRA;ATRX
Cellular Response To Nitrogen Compound (GO:1901699)	16-Jan	0.01114544	0.062566235	0	0	102.4153846	460.5338013	ATRX
Positive Regulation By Host Of Viral Transcription (GO:0043923)	16-Jan	0.01114544	0.062566235	0	0	102.4153846	460.5338013	EP300
Positive Regulation Of Dendrite Morphogenesis (GO:0050775)	17-Jan	0.011838189	0.062566235	0	0	96.00961538	425.939424	CDKL5
Regulation Of Tubulin Deacetylation (GO:0090043)	17-Jan	0.011838189	0.062566235	0	0	96.00961538	425.939424	EP300
