Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Protruding tongue (HP:0010808)	14-Feb	4.12E-05	0.003787124	0	0	277.4166667	2801.050793	CDKL5;ATRX
Autism (HP:0000717)	3/109	5.49E-05	0.003787124	0	0	51.14922813	501.8080175	HIRA;CDKL5;ATRX
Inappropriate behavior (HP:0000719)	17-Feb	6.15E-05	0.003787124	0	0	221.9	2151.611161	CDKL5;ATRX
Exotropia (HP:0000577)	18-Feb	6.92E-05	0.003787124	0	0	208.0208333	1992.61613	CDKL5;ATRX
Abnormality of the incisor (HP:0000676)	24-Feb	1.24E-04	0.004231435	0	0	151.2424242	1359.874763	EVC;ATRX
Drooling (HP:0002307)	24-Feb	1.24E-04	0.004231435	0	0	151.2424242	1359.874763	CDKL5;ATRX
Excessive salivation (HP:0003781)	25-Feb	1.35E-04	0.004231435	0	0	144.6594203	1288.680448	CDKL5;ATRX
Constipation (HP:0002019)	3/170	2.05E-04	0.005524934	0	0	32.36635819	274.8717858	HIRA;CDKL5;ATRX
Ventricular septal defect (HP:0001629)	3/176	2.27E-04	0.005524934	0	0	31.23436679	262.0666796	HIRA;EVC;ATRX
Brachydactyly syndrome (HP:0001156)	3/192	2.93E-04	0.005888619	0	0	28.56709957	232.3784506	CDKL5;EVC;ATRX
"Intellectual disability, progressive (HP:0006887)"	Feb-38	3.15E-04	0.005888619	0	0	92.36111111	744.6147298	CDKL5;ATRX
Abnormality of salivation (HP:0100755)	Feb-39	3.32E-04	0.005888619	0	0	89.86036036	719.7590103	CDKL5;ATRX
Macroglossia (HP:0000158)	Feb-40	3.50E-04	0.005888619	0	0	87.49122807	696.3300972	CDKL5;ATRX
Tapered finger (HP:0001182)	Feb-42	3.86E-04	0.006031013	0	0	83.10833333	653.3025303	CDKL5;ATRX
Gastroesophageal reflux (HP:0002020)	Feb-45	4.43E-04	0.006464553	0	0	77.29844961	596.9328678	CDKL5;ATRX
Short palm (HP:0004279)	Feb-54	6.38E-04	0.008728756	0	0	63.89102564	470.0855987	CDKL5;EVC
"Intellectual disability, severe (HP:0010864)"	Feb-59	7.61E-04	0.009803159	0	0	58.27192982	418.4454252	CDKL5;ATRX
X-linked dominant inheritance (HP:0001423)	Feb-62	8.40E-04	0.010220293	0	0	55.35	391.9931288	CDKL5;ATRX
Vesicoureteral reflux (HP:0000076)	Feb-68	0.001009515	0.011635985	0	0	50.3030303	347.0046664	HIRA;ATRX
Genu valgum (HP:0002857)	Feb-75	0.001226329	0.013428307	0	0	45.46347032	304.7748199	EVC;ATRX
Telecanthus (HP:0000506)	Feb-83	0.001499056	0.015280276	0	0	40.95679012	266.3387174	HIRA;ATRX
Hypospadias (HP:0000047)	Feb-84	0.001535005	0.015280276	0	0	40.45528455	262.1187579	EVC;ATRX
Wide mouth (HP:0000154)	Feb-86	0.001608136	0.015312249	0	0	39.48809524	254.0142674	CDKL5;ATRX
Thick lower lip vermilion (HP:0000179)	Feb-97	0.002039575	0.017720579	0	0	34.89649123	216.1842484	CDKL5;ATRX
Aganglionic megacolon (HP:0002251)	Feb-97	0.002039575	0.017720579	0	0	34.89649123	216.1842484	HIRA;ATRX
Cryptorchidism (HP:0000028)	3/379	0.002103813	0.017720579	0	0	14.22388781	87.67609963	HIRA;EVC;ATRX
Upslanted palpebral fissure (HP:0000582)	2/108	0.002519972	0.020439774	0	0	31.25786164	187.0316467	HIRA;ATRX
Carious teeth (HP:0000670)	2/119	0.00304866	0.023844874	0	0	28.3034188	163.9632123	HIRA;EP300
Talipes equinovarus (HP:0001762)	2/129	0.003570632	0.026964427	0	0	26.06167979	146.8578962	EVC;ATRX
Umbilical hernia (HP:0001537)	2/151	0.004855101	0.03508909	0	0	22.18903803	118.2170997	HIRA;ATRX
Volvulus (HP:0002580)	8-Jan	0.005587202	0.03508909	0	0	219.5494505	1138.863728	ATRX
Hypochromic microcytic anemia (HP:0004840)	8-Jan	0.005587202	0.03508909	0	0	219.5494505	1138.863728	ATRX
Absent frontal sinuses (HP:0002688)	8-Jan	0.005587202	0.03508909	0	0	219.5494505	1138.863728	ATRX
Hyperventilation (HP:0002883)	8-Jan	0.005587202	0.03508909	0	0	219.5494505	1138.863728	CDKL5
Cerebral cortical atrophy (HP:0002120)	2/163	0.00563316	0.03508909	0	0	20.52277433	106.289188	CDKL5;ATRX
Delayed skeletal maturation (HP:0002750)	2/165	0.00576807	0.03508909	0	0	20.26891616	104.4947313	EVC;ATRX
Neonatal short-limb short stature (HP:0008921)	9-Jan	0.006283564	0.036058431	0	0	192.0961538	973.8925198	EVC
Short neck (HP:0000470)	2/182	0.006974382	0.036058431	0	0	18.33888889	91.06196524	HIRA;ATRX
Limb hypertonia (HP:0002509)	10-Jan	0.006979474	0.036058431	0	0	170.7435897	847.7046615	ATRX
Aplasia/Hypoplasia of the frontal sinuses (HP:0009119)	10-Jan	0.006979474	0.036058431	0	0	170.7435897	847.7046615	ATRX
High palate (HP:0000218)	2/191	0.007655664	0.036058431	0	0	17.45767196	85.05918183	ATRX;EP300
Natal tooth (HP:0000695)	11-Jan	0.007674931	0.036058431	0	0	153.6615385	748.3003459	EVC
Clinodactyly of the 5th finger (HP:0004209)	2/192	0.007733163	0.036058431	0	0	17.36491228	84.43232433	EVC;ATRX
Mild short stature (HP:0003502)	12-Jan	0.008369936	0.036058431	0	0	139.6853147	668.1300945	EVC
Aplasia/Hypoplasia involving the sinuses (HP:0009120)	12-Jan	0.008369936	0.036058431	0	0	139.6853147	668.1300945	ATRX
Abnormal number of incisors (HP:0011064)	12-Jan	0.008369936	0.036058431	0	0	139.6853147	668.1300945	EVC
Clumsiness (HP:0002312)	12-Jan	0.008369936	0.036058431	0	0	139.6853147	668.1300945	CDKL5
Infantile muscular hypotonia (HP:0008947)	12-Jan	0.008369936	0.036058431	0	0	139.6853147	668.1300945	ATRX
Abnormality of the frontal sinuses (HP:0002687)	12-Jan	0.008369936	0.036058431	0	0	139.6853147	668.1300945	ATRX
Fair hair (HP:0002286)	13-Jan	0.009064489	0.036058431	0	0	128.0384615	602.2149226	CDKL5
Shawl scrotum (HP:0000049)	13-Jan	0.009064489	0.036058431	0	0	128.0384615	602.2149226	ATRX
Abnormal hemoglobin (HP:0011902)	14-Jan	0.009758591	0.036058431	0	0	118.183432	547.142878	ATRX
Tented upper lip vermilion (HP:0010804)	15-Jan	0.010452241	0.036058431	0	0	109.7362637	500.5003914	ATRX
Conical tooth (HP:0000698)	15-Jan	0.010452241	0.036058431	0	0	109.7362637	500.5003914	EVC
