Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Transcriptional Regulation Of White Adipocyte Differentiation R-HSA-381340	Feb-84	0.001535005	0.06468005	0	0	40.45528455	262.1187579	THRAP3;EP300
PPARA Activates Gene Expression R-HSA-1989781	2/116	0.002899721	0.06468005	0	0	29.05263158	169.7586159	THRAP3;EP300
Regulation Of Lipid Metabolism By PPARalpha R-HSA-400206	2/118	0.002998619	0.06468005	0	0	28.54885057	165.857499	THRAP3;EP300
LRR FLII-interacting Protein 1 (LRRFIP1) Activates Type I IFN Production R-HSA-3134973	5-Jan	0.003495399	0.06468005	0	0	384.2692308	2173.545039	EP300
MET Activates PTPN11 R-HSA-8865999	5-Jan	0.003495399	0.06468005	0	0	384.2692308	2173.545039	RNMT
MET Interacts With TNS Proteins R-HSA-8875513	5-Jan	0.003495399	0.06468005	0	0	384.2692308	2173.545039	RNMT
MET Receptor Activation R-HSA-6806942	6-Jan	0.00419312	0.06468005	0	0	307.4	1682.802968	RNMT
MET Activates PI3K/AKT Signaling R-HSA-8851907	6-Jan	0.00419312	0.06468005	0	0	307.4	1682.802968	RNMT
Developmental Biology R-HSA-1266738	4/1073	0.005348184	0.06468005	0	0	7.07839102	37.0270511	ABLIM1;RNMT;THRAP3;EP300
Sema4D Mediated Inhibition Of Cell Attachment And Migration R-HSA-416550	8-Jan	0.005587202	0.06468005	0	0	219.5494505	1138.863728	RNMT
PI5P Regulates TP53 Acetylation R-HSA-6811555	9-Jan	0.006283564	0.06468005	0	0	192.0961538	973.8925198	EP300
MET Activates RAS Signaling R-HSA-8851805	9-Jan	0.006283564	0.06468005	0	0	192.0961538	973.8925198	RNMT
MET Receptor Recycling R-HSA-8875656	9-Jan	0.006283564	0.06468005	0	0	192.0961538	973.8925198	RNMT
Regulation Of FOXO Transcriptional Activity By Acetylation R-HSA-9617629	10-Jan	0.006979474	0.06468005	0	0	170.7435897	847.7046615	EP300
STAT3 Nuclear Events Downstream Of ALK Signaling R-HSA-9701898	10-Jan	0.006979474	0.06468005	0	0	170.7435897	847.7046615	EP300
RUNX3 Regulates p14-ARF R-HSA-8951936	10-Jan	0.006979474	0.06468005	0	0	170.7435897	847.7046615	EP300
Regulation Of Gene Expression By Hypoxia-inducible Factor R-HSA-1234158	11-Jan	0.007674931	0.06468005	0	0	153.6615385	748.3003459	EP300
MET Activates RAP1 And RAC1 R-HSA-8875555	11-Jan	0.007674931	0.06468005	0	0	153.6615385	748.3003459	RNMT
Activation Of TFAP2 (AP-2) Family Of Transcription Factors R-HSA-8866907	12-Jan	0.008369936	0.06468005	0	0	139.6853147	668.1300945	EP300
NOTCH2 Intracellular Domain Regulates Transcription R-HSA-2197563	12-Jan	0.008369936	0.06468005	0	0	139.6853147	668.1300945	EP300
DCC Mediated Attractive Signaling R-HSA-418885	14-Jan	0.009758591	0.06468005	0	0	118.183432	547.142878	ABLIM1
RUNX3 Regulates NOTCH Signaling R-HSA-8941856	14-Jan	0.009758591	0.06468005	0	0	118.183432	547.142878	EP300
TRAF3-dependent IRF Activation Pathway R-HSA-918233	15-Jan	0.010452241	0.06468005	0	0	109.7362637	500.5003914	EP300
InlB-mediated Entry Of Listeria Monocytogenes Into Host Cell R-HSA-8875360	15-Jan	0.010452241	0.06468005	0	0	109.7362637	500.5003914	RNMT
FOXO-mediated Transcription Of Cell Death Genes R-HSA-9614657	16-Jan	0.01114544	0.06468005	0	0	102.4153846	460.5338013	EP300
Regulation Of Gene Expression In Late Stage (Branching Morphogenesis) Pancreatic Bud Precursor Cells R-HSA-210744	16-Jan	0.01114544	0.06468005	0	0	102.4153846	460.5338013	EP300
Polo-like Kinase Mediated Events R-HSA-156711	16-Jan	0.01114544	0.06468005	0	0	102.4153846	460.5338013	EP300
Formation Of Senescence-Associated Heterochromatin Foci (SAHF) R-HSA-2559584	17-Jan	0.011838189	0.06468005	0	0	96.00961538	425.939424	HIRA
MET Activates PTK2 Signaling R-HSA-8874081	17-Jan	0.011838189	0.06468005	0	0	96.00961538	425.939424	RNMT
Activation Of SMO R-HSA-5635838	18-Jan	0.012530487	0.06468005	0	0	90.35746606	395.7287162	EVC
MECP2 Regulates Neuronal Receptors And Channels R-HSA-9022699	18-Jan	0.012530487	0.06468005	0	0	90.35746606	395.7287162	RNMT
TP53 Regulates Transcription Of Genes Involved In G2 Cell Cycle Arrest R-HSA-6804114	18-Jan	0.012530487	0.06468005	0	0	90.35746606	395.7287162	EP300
RORA Activates Gene Expression R-HSA-1368082	18-Jan	0.012530487	0.06468005	0	0	90.35746606	395.7287162	EP300
Regulation Of TP53 Activity Thru Methylation R-HSA-6804760	19-Jan	0.013222334	0.06468005	0	0	85.33333333	369.1390205	EP300
Listeria Monocytogenes Entry Into Host Cells R-HSA-8876384	19-Jan	0.013222334	0.06468005	0	0	85.33333333	369.1390205	RNMT
CD209 (DC-SIGN) Signaling R-HSA-5621575	20-Jan	0.013913732	0.06468005	0	0	80.83805668	345.5729133	EP300
NOTCH4 Intracellular Domain Regulates Transcription R-HSA-9013695	20-Jan	0.013913732	0.06468005	0	0	80.83805668	345.5729133	EP300
Negative Regulation Of MET Activity R-HSA-6807004	21-Jan	0.01460468	0.066105392	0	0	76.79230769	324.5560291	RNMT
Sema4D In Semaphorin Signaling R-HSA-400685	24-Jan	0.016674827	0.073540263	0	0	66.76588629	273.3298608	RNMT
NOTCH3 Intracellular Domain Regulates Transcription R-HSA-9013508	25-Jan	0.017363979	0.073616376	0	0	63.98076923	259.3369253	EP300
Attenuation Phase R-HSA-3371568	26-Jan	0.018052682	0.073616376	0	0	61.41846154	246.5620209	EP300
Signaling By ALK R-HSA-201556	26-Jan	0.018052682	0.073616376	0	0	61.41846154	246.5620209	EP300
RNA Pol II CTD Phosphorylation And Interaction With CE R-HSA-77075	27-Jan	0.018740936	0.073616376	0	0	59.05325444	234.8574522	RNMT
MET Promotes Cell Motility R-HSA-8875878	28-Jan	0.019428743	0.073616376	0	0	56.86324786	224.098156	RNMT
TRAF6 Mediated IRF7 Activation R-HSA-933541	28-Jan	0.019428743	0.073616376	0	0	56.86324786	224.098156	EP300
Regulation Of TP53 Activity Thru Acetylation R-HSA-6804758	29-Jan	0.020116103	0.073616376	0	0	54.82967033	214.1775585	EP300
mRNA Capping R-HSA-72086	29-Jan	0.020116103	0.073616376	0	0	54.82967033	214.1775585	RNMT
Metalloprotease DUBs R-HSA-5689901	31-Jan	0.021489479	0.077003968	0	0	51.16923077	196.4996601	EP300
Signaling By NOTCH2 R-HSA-1980145	Jan-32	0.022175497	0.077840521	0	0	49.51612903	188.5954142	EP300
RUNX1 Interacts With Co-Factors Whose Precise Effect On RUNX1 Targets Is Not Known R-HSA-8939243	Jan-35	0.024230873	0.079359227	0	0	45.14027149	167.9275753	EP300
SMAD2/SMAD3:SMAD4 Heterotrimer Regulates Transcription R-HSA-2173796	Jan-36	0.024915106	0.079359227	0	0	43.84835165	161.9004351	EP300
Transcriptional Regulation By AP-2 (TFAP2) Family Of Transcription Factors R-HSA-8864260	Jan-36	0.024915106	0.079359227	0	0	43.84835165	161.9004351	EP300
HSF1-dependent Transactivation R-HSA-3371571	Jan-36	0.024915106	0.079359227	0	0	43.84835165	161.9004351	EP300
NR1H3 And NR1H2 Regulate Gene Expression Linked To Cholesterol Transport And Efflux R-HSA-9029569	Jan-36	0.024915106	0.079359227	0	0	43.84835165	161.9004351	EP300
Diseases Of Mitotic Cell Cycle R-HSA-9675126	Jan-38	0.026282236	0.082191721	0	0	41.47401247	150.9182076	ATRX
NGF-stimulated Transcription R-HSA-9031628	Jan-39	0.026965134	0.082821483	0	0	40.3805668	145.9034914	EP300
Regulation Of Beta-Cell Development R-HSA-186712	Jan-41	0.028329595	0.085485796	0	0	38.35769231	136.7009949	EP300
SUMOylation Of Transcription Cofactors R-HSA-3899300	Jan-43	0.02969228	0.088052967	0	0	36.52747253	128.4623071	EP300
Heme Signaling R-HSA-9707616	Jan-45	0.031053189	0.088105818	0	0	34.86363636	121.0484196	EP300
NR1H2 And NR1H3-mediated Signaling R-HSA-9024446	Jan-46	0.03173298	0.088105818	0	0	34.08717949	117.6143623	EP300
NOTCH1 Intracellular Domain Regulates Transcription R-HSA-2122947	Jan-48	0.033091232	0.088105818	0	0	32.63338789	111.2304765	EP300
Inhibition Of DNA Recombination At Telomere R-HSA-9670095	Jan-48	0.033091232	0.088105818	0	0	32.63338789	111.2304765	ATRX
TP53 Regulates Transcription Of Cell Cycle Genes R-HSA-6791312	Jan-49	0.033769694	0.088105818	0	0	31.95192308	108.2592345	EP300
Netrin-1 Signaling R-HSA-373752	Jan-49	0.033769694	0.088105818	0	0	31.95192308	108.2592345	ABLIM1
Signaling By NOTCH3 R-HSA-9012852	Jan-49	0.033769694	0.088105818	0	0	31.95192308	108.2592345	EP300
"Formation Of Ternary Complex, And Subsequently, 43S Complex R-HSA-72695"	Jan-50	0.034447714	0.088105818	0	0	31.29827316	105.4223689	EIF3A
Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202	2/424	0.03448188	0.088105818	0	0	7.726698262	26.01827578	RNMT;EP300
Transcriptional Activity Of SMAD2/SMAD3:SMAD4 Heterotrimer R-HSA-2173793	Jan-51	0.035125293	0.088105818	0	0	30.67076923	102.7113092	EP300
Formation Of TC-NER Pre-Incision Complex R-HSA-6781823	Jan-52	0.03580243	0.088105818	0	0	30.0678733	100.118186	EP300
Regulation Of RUNX3 Expression And Activity R-HSA-8941858	Jan-54	0.03715538	0.088105818	0	0	28.93033382	95.25736808	EP300
Ribosomal Scanning And Start Codon Recognition R-HSA-72702	Jan-57	0.039181501	0.088105818	0	0	27.37637363	88.68714645	EIF3A
Translation Initiation Complex Formation R-HSA-72649	Jan-57	0.039181501	0.088105818	0	0	27.37637363	88.68714645	EIF3A
Constitutive Signaling By NOTCH1 HD+PEST Domain Mutants R-HSA-2894862	Jan-58	0.039855994	0.088105818	0	0	26.89473684	86.6678178	EP300
"mRNA Activation Upon Binding Of Cap-Binding Complex And eIFs, Subsequent Binding To 43S R-HSA-72662"	Jan-58	0.039855994	0.088105818	0	0	26.89473684	86.6678178	EIF3A
B-WICH Complex Positively Regulates rRNA Expression R-HSA-5250924	Jan-59	0.040530048	0.088105818	0	0	26.42970822	84.72602362	EP300
Transcriptional Regulation Of Granulopoiesis R-HSA-9616222	Jan-59	0.040530048	0.088105818	0	0	26.42970822	84.72602362	EP300
Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722	Jan-60	0.041203662	0.088105818	0	0	25.98044329	82.85756067	EP300
