Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Pathways Affected In Adenoid Cystic Carcinoma WP3651	2/65	9.228750422321747E-4	0.04060650185821568	0	0	52.70634920634921	368.312849231288	ATRX;EP300
Male Infertility WP4673	2/145	0.004486431284512587	0.07431076024542044	0	0	23.127039627039625	125.04091213046264	ABLIM1;EP300
Circadian Rhythm Genes WP3594	2/201	0.008446736785481874	0.07431076024542044	0	0	16.572026800670017	79.11444316094835	THRAP3;EP300
Interactome Of Polycomb Repressive Complex 2 PRC2 WP2916	1/16	0.011145440218903038	0.07431076024542044	0	0	102.41538461538461	460.53380130419424	THRAP3
Nsp1 From SARS CoV 2 Inhibits Translation Initiation In The Host Cell WP5027	1/16	0.011145440218903038	0.07431076024542044	0	0	102.41538461538461	460.53380130419424	EIF3A
Hematopoietic Stem Cell Gene Regulation By GABP Alpha Beta Complex WP3657	1/20	0.013913731760820029	0.07431076024542044	0	0	80.83805668016194	345.57291333057793	EP300
Pathophysiological Roles Of DUX4 In FSHD1 WP5342	1/22	0.01529517792933681	0.07431076024542044	0	0	73.13186813186813	305.7071272789262	EP300
Initiation Of Transcription And Translation Elongation At The HIV 1 LTR WP3414	1/32	0.022175497351954617	0.07431076024542044	0	0	49.516129032258064	188.59541419671353	EP300
Prion Disease Pathway WP3995	1/32	0.022175497351954617	0.07431076024542044	0	0	49.516129032258064	188.59541419671353	EP300
CAMKK2 Pathway WP4874	1/33	0.022861068741375043	0.07431076024542044	0	0	47.96634615384615	181.23219876999113	EP300
Type 2 Papillary Renal Cell Carcinoma WP4241	1/34	0.023546193825120534	0.07431076024542044	0	0	46.51048951048951	174.35810878919273	EP300
Hedgehog Signaling Pathway WP4249	1/43	0.029692279563515972	0.07431076024542044	0	0	36.527472527472526	128.46230708138887	EVC
Aryl Hydrocarbon Receptor Pathway WP2873	1/45	0.03105318942430504	0.07431076024542044	0	0	34.86363636363637	121.04841961551217	EP300
15Q25 Copy Number Variation WP5408	1/45	0.03105318942430504	0.07431076024542044	0	0	34.86363636363637	121.04841961551217	RNMT
Aryl Hydrocarbon Receptor Pathway WP2586	1/46	0.03173297954882987	0.07431076024542044	0	0	34.08717948717949	117.61436233167083	EP300
Energy Metabolism WP1541	1/48	0.03309123150218267	0.07431076024542044	0	0	32.633387888707034	111.23047645903023	EP300
Rett Syndrome Causing Genes WP4312	1/48	0.03309123150218267	0.07431076024542044	0	0	32.633387888707034	111.23047645903023	CDKL5
Translation Factors WP107	1/50	0.034447714169871156	0.07431076024542044	0	0	31.298273155416013	105.4223689491126	EIF3A
IL 4 Signaling Pathway WP395	1/50	0.034447714169871156	0.07431076024542044	0	0	31.298273155416013	105.4223689491126	EP300
Kit Receptor Signaling Pathway WP304	1/53	0.036479125395076716	0.07431076024542044	0	0	29.488165680473372	97.63576151436209	EP300
TGF Beta Receptor Signaling WP560	1/54	0.03715538012271022	0.07431076024542044	0	0	28.93033381712627	95.25736807729457	EP300
Notch Signaling Pathway WP61	1/54	0.03715538012271022	0.07431076024542044	0	0	28.93033381712627	95.25736807729457	EP300
TGF Beta Receptor Signaling In Skeletal Dysplasias WP4816	1/58	0.039855994355866974	0.07624625007209335	0	0	26.894736842105264	86.66781779581883	EP300
3Q29 Copy Number Variation Syndrome WP4906	1/63	0.043221871427467695	0.07924009761702411	0	0	24.719602977667495	77.65437409472437	MYCBP2
SARS CoV 2 Innate Immunity Evasion And Cell Specific Immune Response WP5039	1/66	0.04523613528541748	0.07961559810233476	0	0	23.57514792899408	72.98533526719285	EP300
Urotensin II Mediated Signaling Pathway WP5158	1/69	0.04724646104265027	0.07995554945679276	0	0	22.531674208144796	68.77517598546079	EP300
16P11 2 Proximal Deletion Syndrome WP4949	1/74	0.05058827191294091	0.08244014682108888	0	0	20.98314014752371	62.6144353100612	HIRA
Glioblastoma Signaling Pathways WP2261	1/82	0.05591253867208649	0.08500165504286121	0	0	18.903133903133902	54.51600716299186	EP300
Clear Cell Renal Cell Carcinoma Pathways WP4018	1/85	0.057901980842456284	0.08500165504286121	0	0	18.225274725274726	51.92387482596371	EP300
Androgen Receptor Signaling Pathway WP138	1/87	0.059226112230162595	0.08500165504286121	0	0	17.79964221824687	50.30877970707926	EP300
Bardet Biedl Syndrome WP5234	1/88	0.05988752968928858	0.08500165504286121	0	0	17.594164456233422	49.53262213559414	EVC
Wnt Signaling Pathway And Pluripotency WP399	1/101	0.06844675632813549	0.09112097069011192	0	0	15.296923076923077	41.02174509036264	EP300
Genes Related To Primary Cilium Development Based On CRISPR WP4536	1/102	0.06910215203883725	0.09112097069011192	0	0	15.144706778370145	40.46922209874876	EVC
NF1 Copy Number Variation Syndrome WP5366	1/104	0.07041165916963193	0.09112097069011192	0	0	14.849141150112024	39.400657913218666	EIF3A
22Q11 2 Copy Number Variation Syndrome WP4657	1/118	0.07953042574340898	0.09878770628519354	0	0	13.063116370808679	33.07078940821261	HIRA
Cell Cycle WP179	1/120	0.08082630514243107	0.09878770628519354	0	0	12.842275371687137	32.30413764153673	EP300
mRNA Processing WP411	1/125	0.08405859584406139	0.09992069898193658	0	0	12.321339950372208	30.510609054520092	RNMT
Ebola Virus Infection In Host WP4217	1/129	0.0866368257895979	0.09992069898193658	0	0	11.93389423076923	29.190667049405032	EP300
TGF Beta Signaling Pathway WP366	1/132	0.0885660740976256	0.09992069898193658	0	0	11.658837345860247	28.261096407773028	EP300
Brain Derived Neurotrophic Factor BDNF Signaling Pathway WP2380	1/137	0.09177308130260607	0.10095038943286669	0	0	11.22737556561086	26.815870864611973	CDKL5
Hepatitis B Infection WP4666	1/150	0.10006232868333703	0.10738396248943487	0	0	10.241094475993805	23.574610325457964	EP300
Sudden Infant Death Syndrome SIDS Susceptibility Pathways WP706	1/157	0.10449661767090834	0.10947264708380874	0	0	9.778106508875739	22.084836982249673	EP300
Ciliopathies WP4803	1/184	0.12141095196078043	0.12423446247149626	0	0	8.324085750315259	17.55195237329604	EVC
Nuclear Receptors Meta Pathway WP2882	1/314	0.19877685415983817	0.19877685415983817	0	0	4.834848857213075	7.8110484652232675	EP300
